stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1432,1432,S FULTON AVE @ E SANDFORD BLVD,,40.900808,-73.826906,,,,,,0
1433,1433,E SANDFORD BLVD @ SENECA AVE,,40.901087,-73.823619,,,,,,0
1434,1434,E SANDFORD BLVD @ S COLUMBUS AVE,,40.901373,-73.82074,,,,,,0
1435,1435,E SANFORD BLVD @ GARDEN AVE,E SANDFORD BLVD & GARDEN AVE,40.901817,-73.818327,,,,,,0
1436,1436,COLONIAL AVE @ WOLFS LA,,40.902567,-73.813211,,,,,,0
1438,1438,PELHAMDALE AVE @ BOSTON POST RD,,40.896354,-73.80612,,,,,,0
1439,1439,BOSTON POST RD @ FOWLER AVE,,40.897242,-73.80193,,,,,,0
1440,1440,MAIN ST @ CLEVELAND AVE,,40.899223,-73.797619,,,,,,0
1441,1441,MAIN ST @ RUSSELL AVE,,40.901966,-73.79145,,,,,,0
1442,1442,MAIN ST @ DRAKE AVE,,40.903066,-73.789419,,,,,,0
1443,1443,MAIN ST @ WOODLAND AVE,,40.904083,-73.788266,,,,,,0
1444,1444,MAIN ST @ PINTARD AVE,,40.9052,-73.787083,,,,,,0
1445,1445,HUGUENOT ST @ PINTARD AVE,,40.905648,-73.786929,,,,,,0
1446,1446,MAIN ST @ WEBSTER AVE,,40.904882,-73.787711,,,,,,0
1447,1447,MAIN ST @ CLIFF ST,MAIN ST & CLIFF STREET ST,40.90305,-73.789718,,,,,,0
1449,1449,MAIN ST @ WEYMAN AVE,,40.901467,-73.792946,,,,,,0
1450,1450,MAIN ST @ CLEVELAND AVE,,40.899348,-73.79761,,,,,,0
1451,1451,BOSTON POST RD @ FOWLER AVE,,40.897436,-73.801782,,,,,,0
1452,1452,PELHAMDALE AVE @ BOSTON POST RD,,40.896423,-73.805986,,,,,,0
1454,1454,COLONIAL AVE @ WOLFS LA,,40.902764,-73.813394,,,,,,0
1455,1455,E SANFORD BLVD @ GARDEN AVE,E SANDFORD BLVD & GARDEN AVE,40.902064,-73.817916,,,,,,0
1457,1457,E SANDFORD BLVD @ SENECA AVE,,40.901232,-73.823739,,,,,,0
1458,1458,S FULTON AVE @ E SANDFORD BLVD,,40.90114,-73.826789,,,,,,0
1459,1459,S FULTON AVE @ E 5TH ST,,40.903311,-73.827056,,,,,,0
1460,1460,S FULTON AVE @ E 4TH ST,,40.905542,-73.827438,,,,,,0
1461,1461,S FULTON AVE @ AMSTERDAM PL,,40.90735,-73.827463,,,,,,0
1464,1464,E 3RD ST @ FRANKLIN AVE,,40.908185,-73.829751,,,,,,0
1465,1465,E 3RD ST @ S 1ST AVE,,40.907466,-73.83259,,,,,,0
1466,1466,E 3RD ST @ S. 5TH AVE,W 3RD ST & E 3RD ST,40.906928,-73.835017,,,,,,0
1467,1467,S 5TH AVE @ W 3RD ST,S 5TH AVE & W 4TH ST,40.906803,-73.836158,,,,,,0
1468,1468,S 5TH AVE @ E 2ND ST,,40.908774,-73.836919,,,,,,0
1469,1469,S 5TH AVE @ W 1ST ST,,40.911405,-73.837965,,,,,,0
1470,1470,BRUCKNER BLVD @ WESTCHESTER AVE,,40.852883,-73.826816,,,,,,0
1471,1471,PELHAM RD @ PELHAMDALE AVE,,40.887337,-73.790771,,,,,,0
1472,1472,PELHAM RD @ DUMONT MASONIC HOME,676 PELHAM RD,40.890294,-73.78729,,,,,,0
1473,1473,PELHAM RD @ GLEN ISLAND APPROACH,PELHAM RD & GLEN ISLAND APPROACH RD,40.892234,-73.785768,,,,,,0
1474,1474,PELHAM RD @ FORT SLOCUM RD,,40.893653,-73.784519,,,,,,0
1475,1475,PELHAM RD @ DRAKE AVE,,40.894745,-73.783201,,,,,,0
1476,1476,PELHAM RD @ CIRCUIT RD,,40.895196,-73.78162,,,,,,0
